Chain,Method,Scenario,SwapType,BeforeSwap,TotalAdapterGas,AfterSwap,Total,NumAdapters,Timestamp
arb,uniswapV3,basic,ERC20->ERC20,10370,114521,39643,164534,1,2025-12-15T04:38:36.710Z
arb,uniswapV3,fromToken_single_commission,ERC20->ERC20,101724,80921,27366,210011,1,2025-12-15T04:38:37.959Z
arb,uniswapV3,fromToken_double_commission,ERC20->ERC20,111887,80921,31687,224495,1,2025-12-15T04:38:39.411Z
arb,uniswapV3,toToken_single_commission,ERC20->ERC20,13666,114521,76885,205072,1,2025-12-15T04:38:40.659Z
arb,uniswapV3,toToken_double_commission,ERC20->ERC20,13666,114521,85208,213395,1,2025-12-15T04:38:41.887Z
arb,uniswapV3,max_gas_scenario,ERC20->ERC20,13666,114521,121370,249557,1,2025-12-15T04:38:43.126Z
arb,uniswapV3,basic,ETH->ERC20,46961,63122,29155,139238,1,2025-12-15T04:38:44.359Z
arb,uniswapV3,fromToken_single_commission,ETH->ERC20,60288,63122,29365,152775,1,2025-12-15T04:38:45.753Z
arb,uniswapV3,fromToken_double_commission,ETH->ERC20,73615,63122,29154,165891,1,2025-12-15T04:38:47.017Z
arb,uniswapV3,toToken_single_commission,ETH->ERC20,50211,80222,51577,182010,1,2025-12-15T04:38:48.426Z
arb,uniswapV3,toToken_double_commission,ETH->ERC20,50211,80222,61063,191496,1,2025-12-15T04:38:49.816Z
arb,uniswapV3,max_gas_scenario,ETH->ERC20,50211,80222,76820,207253,1,2025-12-15T04:38:51.046Z
arb,uniswapV3,basic,ERC20->ETH,574,125521,61718,187813,1,2025-12-15T04:38:52.599Z
arb,uniswapV3,fromToken_single_commission,ERC20->ETH,91928,91921,52783,236632,1,2025-12-15T04:38:53.857Z
arb,uniswapV3,fromToken_double_commission,ERC20->ETH,102091,91921,54208,248220,1,2025-12-15T04:38:55.119Z
arb,uniswapV3,toToken_single_commission,ERC20->ETH,574,125521,82866,208961,1,2025-12-15T04:38:56.347Z
arb,uniswapV3,toToken_double_commission,ERC20->ETH,574,125521,93591,219686,1,2025-12-15T04:38:57.577Z
arb,uniswapV3,max_gas_scenario,ERC20->ETH,574,125521,115146,241241,1,2025-12-15T04:38:58.886Z